N,<C M Q1 Q2 Q3>,Output Image,Error
4,<1 1 1 1 2>,output_N4_C1_M1_1_1_2.png,20155030
4,<1 2 1 1 2>,output_N4_C1_M2_1_1_2.png,14938394
4,<2 1 1 1 2>,output_N4_C2_M1_1_1_2.png,37673808
4,<2 2 1 1 2>,output_N4_C2_M2_1_1_2.png,17735608
4,<1 1 1 2 1>,output_N4_C1_M1_1_2_1.png,19402808
4,<1 2 1 2 1>,output_N4_C1_M2_1_2_1.png,13748460
4,<2 1 1 2 1>,output_N4_C2_M1_1_2_1.png,30097763
4,<2 2 1 2 1>,output_N4_C2_M2_1_2_1.png,18231788
4,<1 1 2 1 1>,output_N4_C1_M1_2_1_1.png,19664322
4,<1 2 2 1 1>,output_N4_C1_M2_2_1_1.png,13460957
4,<2 1 2 1 1>,output_N4_C2_M1_2_1_1.png,34282550
4,<2 2 2 1 1>,output_N4_C2_M2_2_1_1.png,10893651
6,<1 1 1 1 4>,,16705026
6,<1 2 1 1 4>,,13179537
6,<2 1 1 1 4>,,38542781
6,<2 2 1 1 4>,,17732549
6,<1 1 1 2 3>,,13757406
6,<1 2 1 2 3>,,10690069
6,<2 1 1 2 3>,,27940521
6,<2 2 1 2 3>,,18242675
6,<1 1 1 3 2>,,13955956
6,<1 2 1 3 2>,,10012670
6,<2 1 1 3 2>,,25057632
6,<2 2 1 3 2>,,18223288
6,<1 1 1 4 1>,,16210078
6,<1 2 1 4 1>,,11048275
6,<2 1 1 4 1>,,26466177
6,<2 2 1 4 1>,,18240463
6,<1 1 2 1 3>,,14018920
6,<1 2 2 1 3>,,10402566
6,<2 1 2 1 3>,,34045089
6,<2 2 2 1 3>,,10482348
6,<1 1 2 2 2>,,12230628
6,<1 2 2 2 2>,,8559363
6,<2 1 2 2 2>,,20833777
6,<2 2 2 2 2>,,9683844
6,<1 1 2 3 1>,,13465248
6,<1 2 2 3 1>,,8535233
6,<2 1 2 3 1>,,13935624
6,<2 2 2 3 1>,,9815187
6,<1 1 3 1 2>,,14928880
6,<1 2 3 1 2>,,10412951
6,<2 1 3 1 2>,,35952885
6,<2 2 3 1 2>,,7074129
6,<1 1 3 2 1>,,14176658
6,<1 2 3 2 1>,,9223017
6,<2 1 3 2 1>,,18582731
6,<2 2 3 2 1>,,6297751
6,<1 1 4 1 1>,,17275616
6,<1 2 4 1 1>,,11537179
6,<2 1 4 1 1>,,34381150
6,<2 2 4 1 1>,,6919598
8,<1 1 1 1 6>,,15915842
8,<1 2 1 1 6>,,12723420
8,<2 1 1 1 6>,,38441056
8,<2 2 1 1 6>,,17728450
8,<1 1 1 2 5>,,12085312
8,<1 2 1 2 5>,,9830234
8,<2 1 1 2 5>,,27617235
8,<2 2 1 2 5>,,18223081
8,<1 1 1 3 4>,,10505952
8,<1 2 1 3 4>,,8253813
8,<2 1 1 3 4>,,25818193
8,<2 2 1 3 4>,,18228875
8,<1 1 1 4 3>,,10564676
8,<1 2 1 4 3>,,7989884
8,<2 1 1 4 3>,,24479381
8,<2 2 1 4 3>,,18247768
8,<1 1 1 5 2>,,12343920
8,<1 2 1 5 2>,,8780109
8,<2 1 1 5 2>,,23587849
8,<2 2 1 5 2>,,18195352
8,<1 1 1 6 1>,,15422758
8,<1 2 1 6 1>,,10419924
8,<2 1 1 6 1>,,26336565
8,<2 2 1 6 1>,,18200275
